MOLREGNO	MOL_TYPE	MOL_CHEMBL_ID	SMILE	ASSAYS	TID	TID_CHEMBL_ID	ACCESION	TAX_ID	STD_TYPE	VALUE_UM	PCHEMBL_VALUE	CLASS
1037724	Small molecule	CHEMBL1614713	c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1	2	30013	CHEMBL4224	P49759	9606	IC50	1.64755	5.95	1
2520909	Unknown	CHEMBL4784318	CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1	2	30013	CHEMBL4224	P49759	9606	IC50	0.0081	8.094999999999999	1
484041	Small molecule	CHEMBL485053	CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N	1	30013	CHEMBL4224	P49759	9606	IC50	0.6461	6.19	1
1037724	Small molecule	CHEMBL1614713	c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1	2	12090	CHEMBL2292	Q13627	9606	IC50	0.10845	7.04	1
2520909	Unknown	CHEMBL4784318	CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1	2	12090	CHEMBL2292	Q13627	9606	IC50	0.00305	8.59	1
484041	Small molecule	CHEMBL485053	CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N	1	12090	CHEMBL2292	Q13627	9606	IC50	1.549	5.81	1
1037724	Small molecule	CHEMBL1614713	c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1	2	101014	CHEMBL5543	Q9Y463	9606	IC50	0.234	6.63	1
2520909	Unknown	CHEMBL4784318	CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1	2	101014	CHEMBL5543	Q9Y463	9606	IC50	0.013	8.045	1
2810485		CHEMBL5290783	CC(C)N1Cc2cc(F)ccc2OCC(C)(C)NC(=O)c2cnc3ccc1nn23	2	100417	CHEMBL4247	Q9UM73	9606	IC50	0.122	6.92	1
2800370		CHEMBL5280668	C=CCn1c(=O)c2cnc(Nc3ccc(C4(C)CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1	2	100098	CHEMBL5491	P30291	9606	IC50	0.07765	7.65	1
2808284		CHEMBL5288582	C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4cc(OC)c5ccoc5c4)nn32)CC1	2	100097	CHEMBL5251	Q06187	9606	IC50	0.2257	6.65	1
2809595		CHEMBL5289893	O=C(Nc1cnccc1-c1ccc(OC(F)F)cc1)c1ccnc(NC(=O)C2CC2)c1	2	10197	CHEMBL262	P49841	9606	IC50	0.09294999999999999	7.49	1
2808761		CHEMBL5289059	C=CC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4cc[nH]c4c3)n2)ccc1N(C)CCN(C)C	2	9	CHEMBL203	P00533	9606	IC50	0.10435	7.380000000000001	1
2790036		CHEMBL5270334	C=CC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4ccn(C)c4c3)n2)c(OC)cc1N1CCN(C)CC1	2	9	CHEMBL203	P00533	9606	IC50	0.14225	7.470000000000001	1
73681	Small molecule	CHEMBL47918	CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C	2	11225	CHEMBL286	P00797	9606	IC50	0.15999999999999998	7.029999999999999	1
2810444		CHEMBL5290742	Cn1cc(Nc2nc(NC3CCOCC3)c3nc(CC#N)ccc3n2)cn1	2	19639	CHEMBL3778	Q9NWZ3	9606	IC50	1.1195	6.27	1
2790058		CHEMBL5270356	Cc1ncc(-c2ccc3nc(Nc4cnn(C5CCN(C)CC5)c4)nc(OC4(C)CC4)c3n2)c(C)n1	2	19639	CHEMBL3778	Q9NWZ3	9606	IC50	0.1335	7.365	1
2790605		CHEMBL5270903	Cc1ncc(-c2nc3c(OC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1	2	19639	CHEMBL3778	Q9NWZ3	9606	IC50	0.1115	7.59	1
2787653		CHEMBL5267951	CCN1C(C)=C(C(=O)Nc2ccc3[nH]ncc3c2)Cn2nnnc21	2	103154	CHEMBL1075104	Q5S007	9606	IC50	0.4615	6.65	1
73818	Small molecule	CHEMBL52060	CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN1CCOCC1)C(C)C	2	11225	CHEMBL286	P00797	9606	IC50	0.0053	8.31	1
73890	Small molecule	CHEMBL46115	CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCc1ccccn1)C(C)C	2	11225	CHEMBL286	P00797	9606	IC50	0.02045	8.225000000000001	1
30086	Small molecule	CHEMBL279983	COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1	2	10460	CHEMBL1926	P16184	4754	IC50	0.20350000000000001	6.77	1
30086	Small molecule	CHEMBL279983	COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1	2	10457	CHEMBL2425	Q07422	5811	IC50	0.03325	7.625	1
246351	Small molecule	CHEMBL148968	COc1ccc(NS(=O)(=O)c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC	3	12697	CHEMBL325	Q13547	9606	IC50	2.766666666666667	5.56	1
210717	Small molecule	CHEMBL337925	CCCSc1nsnc1OC1CN2CCC1CC2	2	10647	CHEMBL276	P08482	10116	IC50	0.01195	8.11	1
91752	Small molecule	CHEMBL60225	Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccc(Br)cc3)CC2)CC1	3	10580	CHEMBL274	P51681	9606	IC50	0.008033333333333333	8.22	1
210932	Small molecule	CHEMBL128950	Clc1nsnc1OC1CN2CCC1CC2	2	10647	CHEMBL276	P08482	10116	IC50	0.081	7.105	1
270066	Small molecule	CHEMBL434093	Fc1ccc(C(OCCN2CCN(Cc3ccc4ccccc4n3)CC2)c2ccc(F)cc2)cc1	3	13077	CHEMBL338	P23977	10116	IC50	0.167	6.896666666666666	1
92295	Small molecule	CHEMBL59328	CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3ccccc23)CC1	2	10580	CHEMBL274	P51681	9606	IC50	0.0063	8.24	1
216636	Small molecule	CHEMBL130383	Clc1ccc(CCNCCNC2(c3cc4ccccc4s3)CCCCC2)cc1Cl	3	13077	CHEMBL338	P23977	10116	IC50	0.36599999999999994	6.53	1
249236	Small molecule	CHEMBL358327	OCc1nccc(N2CCN(c3nccc4ccccc34)CC2)n1	2	11447	CHEMBL2275	Q00796	9606	IC50	0.29	6.595000000000001	1
44421	Small molecule	CHEMBL286941	CN(C(=O)[C@H](CCC(=O)O)NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1)c1cccc2ccccc12	2	11522	CHEMBL298	P32239	9606	IC50	0.0375	7.55	1
1632078	Small molecule	CHEMBL3142787	COC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C	2	11225	CHEMBL286	P00797	9606	IC50	0.595275	6.359999999999999	1
44684	Small molecule	CHEMBL30756	O=C(CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1)NC(Cc1ccc(O)cc1)C(=O)O	2	11522	CHEMBL298	P32239	9606	IC50	0.2465	6.63	1
33536	Small molecule	CHEMBL25425	COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1	2	9	CHEMBL203	P00533	9606	IC50	0.25	6.609999999999999	1
1590214	Small molecule	CHEMBL2448066	COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl	2	9	CHEMBL203	P00533	9606	IC50	0.085	7.08	1
131134	Small molecule	CHEMBL82880	CN(C[C@@H](CCN1CCC2(CC1)CC(=O)c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1	3	10580	CHEMBL274	P51681	9606	IC50	1.1354166666666667	7.3566666666666665	1
196944	Small molecule	CHEMBL118914	CC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1	2	55	CHEMBL215	P09917	9606	IC50	0.10300000000000001	6.995	1
37267	Small molecule	CHEMBL25903	Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	2	12030	CHEMBL3004	P33527	9606	IC50	0.061	7.4399999999999995	1
37093	Small molecule	CHEMBL282156	O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	2	12030	CHEMBL3004	P33527	9606	IC50	0.121	6.985	1
37093	Small molecule	CHEMBL282156	O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	2	12502	CHEMBL2573	P21447	10090	IC50	9.41	5.425000000000001	1
84814	Small molecule	CHEMBL54440	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	4	12236	CHEMBL3247	P51639	10116	IC50	0.025310000000000003	7.595000000000001	1
165783	Small molecule	CHEMBL319277	CCN1c2ncc(COc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21	2	228	CHEMBL247	Q72547	11676	IC50	0.08499999999999999	7.09	1
141292	Small molecule	CHEMBL316159	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N(CC(C)C)CC(C)C)cc3c2[C@H](C)CNCCCCc2ccncc2)c1	2	118	CHEMBL1855	P30968	9606	IC50	0.0098	8.05	1
204356	Small molecule	CHEMBL340453	CCNc1cccnc1N(CC)C1CCN(C(=O)c2cc3cc(NS(=O)(=O)CC)ccc3[nH]2)CC1	3	228	CHEMBL247	Q72547	11676	IC50	0.38000000000000006	6.433333333333334	1
712273	Small molecule	CHEMBL1276308	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C	2	36	CHEMBL208	P06401	9606	IC50	0.000265	9.600000000000001	1
293687	Small molecule	CHEMBL425506	COc1cc(Cc2cnc(N)nc2N)ccc1OCCNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1	3	10094	CHEMBL2329	P22906	5476	IC50	0.18866666666666668	7.06	1
294004	Small molecule	CHEMBL367308	Nc1ncc(OCc2c(Cl)cccc2Cl)c(N)n1	3	10094	CHEMBL2329	P22906	5476	IC50	4.826666666666667	5.333333333333333	1
137363	Small molecule	CHEMBL316264	Fc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	2	146	CHEMBL1985	P47871	9606	IC50	1.05	6.35	1
137287	Small molecule	CHEMBL314238	Fc1ccc(-c2[nH]c(-c3ccc(Cl)cc3)nc2-c2ccncc2)cc1	2	146	CHEMBL1985	P47871	9606	IC50	0.24008500000000002	6.75	1
240431	Small molecule	CHEMBL144326	CCN1c2ncccc2C(=O)N(C)c2ccc(N3CCCC3)nc21	2	228	CHEMBL247	Q72547	11676	IC50	1.9100000000000001	6.5600000000000005	1
165066	Small molecule	CHEMBL102960	CCN1c2ncc(CCc3cccc(F)c3)cc2C(=O)N(C)c2cccnc21	2	228	CHEMBL247	Q72547	11676	IC50	0.245	6.675	1
255608	Small molecule	CHEMBL153914	C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(C)(C)C)c1ccccc1	2	11109	CHEMBL283	P08254	9606	IC50	0.024405000000000003	7.7250000000000005	1
255608	Small molecule	CHEMBL153914	C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(C)(C)C)c1ccccc1	2	13001	CHEMBL333	P08253	9606	IC50	0.03102	8.315	1
225035	Small molecule	CHEMBL137494	CC(CCCCOc1cc(-c2ccc(Cl)cc2)cc(-c2ccccc2)n1)C(=O)O	3	10542	CHEMBL3911	Q15722	9606	IC50	1.015	7.073333333333333	1
225379	Small molecule	CHEMBL138174	COC(=O)CCCCCOc1cc(-c2ccccc2)cc(-c2ccccc2)n1	3	10542	CHEMBL3911	Q15722	9606	IC50	0.38000000000000006	6.8	1
143371	Small molecule	CHEMBL315084	CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1ccc(Cl)c(Cl)c1)S(=O)(=O)c1cccc2cccnc12	2	10580	CHEMBL274	P51681	9606	IC50	7.042935000000001	5.949999999999999	1
273000	Small molecule	CHEMBL165508	Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1	2	9	CHEMBL203	P00533	9606	IC50	0.00725	8.355	1
144029	Small molecule	CHEMBL90272	CN(C)S(=O)(=O)N(C)C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1ccc(Cl)c(Cl)c1	2	10580	CHEMBL274	P51681	9606	IC50	1.51887	6.02	1
72922	Small molecule	CHEMBL49302	COc1ccc(/C=C/CCCCOc2ccc(C(=O)c3cccc(C(=O)O)c3)cc2CCC(=O)O)cc1	3	10542	CHEMBL3911	Q15722	9606	IC50	0.33516666666666667	7.72	1
123659	Small molecule	CHEMBL305718	O=C(N[C@@H]1CS(=O)(=O)CCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1	2	11636	CHEMBL3045	P05771	9606	IC50	4.4	5.36	1
247352	Small molecule	CHEMBL358872	CCc1c(C(=O)C(N)=O)c2c(OC(C)(C)C(=O)O)cccc2n1Cc1ccccc1	2	10584	CHEMBL3474	P14555	9606	IC50	0.027000000000000003	7.57	1
56547	Small molecule	CHEMBL38514	O=c1cc(-c2cccc(Cl)c2)oc2ccc(OCCCCCCN3CCC(O)CC3)cc12	2	11272	CHEMBL287	Q99720	9606	IC50	0.1655	6.785	1
65809	Small molecule	CHEMBL43107	Cc1cccc(OCCCn2cnc(-c3ccccc3)c2CO)c1NC(=O)NCCC(C)C	2	102444	CHEMBL6141	Q95214	9986	IC50	0.21000000000000002	6.68	1
56388	Small molecule	CHEMBL40676	O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCCCC3)cc12	2	11272	CHEMBL287	Q99720	9606	IC50	0.0775	7.135	1
122016	Small molecule	CHEMBL77688	O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)c(O)c1	2	9	CHEMBL203	P00533	9606	IC50	0.305	6.515	1
285248	Small molecule	CHEMBL354538	CN(C)CC1C2CCC(C2)C1c1ccccc1	6	13077	CHEMBL338	P23977	10116	IC50	2.2241666666666666	5.740000000000001	1
121978	Small molecule	CHEMBL76920	CC(C)C1C[C@@H](NC(=O)c2ccc(O)cc2)[C@H](OC(=O)c2cc(O)c(C(=O)c3c(O)cccc3C(=O)O)c(O)c2)C1	2	11636	CHEMBL3045	P05771	9606	IC50	0.065	7.1899999999999995	1
271971	Small molecule	CHEMBL162624	Fc1cc(Cc2ccccc2)ccc1OCCN1CCCC1	2	237	CHEMBL4618	P09960	9606	IC50	0.125	6.97	1
56279	Small molecule	CHEMBL38585	CN(C)CCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1	2	11272	CHEMBL287	Q99720	9606	IC50	0.3835	6.42	1
30611	Small molecule	CHEMBL278336	CS(=O)(=O)c1ccc(C2=C(C#Cc3ccccc3)C(=O)CC2)cc1	2	126	CHEMBL230	P35354	9606	IC50	0.323	7.205	1
213669	Small molecule	CHEMBL132328	CCCCn1cnnc1NS(=O)(=O)c1cc(C(=O)Nc2ccc(C)cc2)c(Cl)cc1S	2	12456	CHEMBL3471	Q7ZJM1	11676	IC50	47.07019	4.345	0
41665	Small molecule	CHEMBL31816	C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC	2	9	CHEMBL203	P00533	9606	IC50	0.145975	7.779999999999999	1
41605	Small molecule	CHEMBL417478	C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1	2	9	CHEMBL203	P00533	9606	IC50	0.05958	8.36	1
127883	Small molecule	CHEMBL81824	Cc1ccccc1/N=C(/N)Nc1ccc([N+](=O)[O-])cc1C	2	11272	CHEMBL287	Q99720	9606	IC50	0.038	7.42	1
214080	Small molecule	CHEMBL433666	Cc1cc(S(=O)(=O)Nc2nc(N)nc3nc4ccccc4n23)c(S)cc1Cl	2	12456	CHEMBL3471	Q7ZJM1	11676	IC50	8.767420000000001	5.0600000000000005	1
30509	Small molecule	CHEMBL23241	COc1ccncc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O	2	126	CHEMBL230	P35354	9606	IC50	0.12	6.9350000000000005	1
205432	Small molecule	CHEMBL125445	COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCN1CCN(C)CC1	2	197	CHEMBL1913	P09619	9606	IC50	0.706	6.15	1
204849	Small molecule	CHEMBL125717	COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OCCOC	2	197	CHEMBL1913	P09619	9606	IC50	0.0965	7.37	1
192898	Small molecule	CHEMBL119054	c1ccc(-c2ccc(OCCN3CCCC3)cc2)cc1	4	237	CHEMBL4618	P09960	9606	IC50	0.495	6.4	1
205517	Small molecule	CHEMBL127753	COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OCCN1CCCCC1	2	197	CHEMBL1913	P09619	9606	IC50	0.41800000000000004	6.385	1
271384	Small molecule	CHEMBL159808	c1cc(OCCN2CCCC2)ccc1CC1CCCCC1	2	237	CHEMBL4618	P09960	9606	IC50	0.28500000000000003	6.84	1
551422	Small molecule	CHEMBL553896	Cl.N=C(Nc1ccccc1I)NC12CC3CC(CC(C3)C1)C2	2	11272	CHEMBL287	Q99720	9606	IC50	0.0055	8.260000000000002	1
270843	Small molecule	CHEMBL162979	C(=C/c1ccc(Cc2ccccc2)cc1)\CN1CCCC1	2	237	CHEMBL4618	P09960	9606	IC50	0.29000000000000004	6.54	1
205588	Small molecule	CHEMBL126173	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCn1ccnn1	2	197	CHEMBL1913	P09619	9606	IC50	1.085	5.99	1
204044	Small molecule	CHEMBL125760	CCOCC(=O)Nc1ccc(Cl)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)(C)C)cc3F)c2=O)c1	2	10026	CHEMBL257	P35351	10116	IC50	0.00033	9.48	1
206092	Small molecule	CHEMBL419785	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCC(=N)N	2	197	CHEMBL1913	P09619	9606	IC50	4.9855	5.55	1
64333	Small molecule	CHEMBL296421	CCCCCNC(=O)Nc1c(OCCCn2ccnc2-c2ccccc2)cccc1N(C)C	2	102444	CHEMBL6141	Q95214	9986	IC50	0.43	6.37	1
419889	Small molecule	CHEMBL398837	CCOc1c(Cl)cc(F)c(CCNC(=S)Nc2ccc(Br)cn2)c1Cl	3	228	CHEMBL247	Q72547	11676	IC50	0.307	6.826666666666667	1
38991	Small molecule	CHEMBL29707	CCCCOc1ccc(OCC(=O)COc2ccc(C(=O)O)cc2)cc1	2	11179	CHEMBL4136	P0C869	9606	IC50	16.15	4.96	0
130583	Small molecule	CHEMBL79566	CN(C[C@@H](CCN1CCC2(CC1)CC(O)c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1	2	10580	CHEMBL274	P51681	9606	IC50	12.044165000000001	5.8100000000000005	0
419849	Small molecule	CHEMBL443063	CN(C)c1ccc(F)c(CCNC(=S)Nc2ccc(Br)cn2)c1F	3	228	CHEMBL247	Q72547	11676	IC50	0.6923333333333334	6.88	1
63600	Small molecule	CHEMBL42488	CCCCCNC(=O)Nc1ccc(OCCCn2cnc(-c3ccccc3)c2C)cc1N(C)C	2	102444	CHEMBL6141	Q95214	9986	IC50	1.95	5.720000000000001	1
289300	Small molecule	CHEMBL172545	CC(O)(/C=C/C1CC=CC(=O)O1)C(CC(O)/C=C/C=C/C=C/CO)OP(=O)(O)O	3	12456	CHEMBL3471	Q7ZJM1	11676	IC50	35.6	4.516666666666667	0
176921	Small molecule	CHEMBL324436	Cc1c(C(C)C)c(=O)on1C(=O)N1CCSCC1	2	11214	CHEMBL3590	Q05469	9606	IC50	0.149	7.32	1
86808	Small molecule	CHEMBL417941	N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1	2	9	CHEMBL203	P00533	9606	IC50	3.7442200000000003	5.515000000000001	1
241189	Small molecule	CHEMBL344060	CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)N(C)S(=O)(=O)c1ccccc1)C(C)(C)C	2	11473	CHEMBL3706	P78536	9606	IC50	1.500305	7.365	1
126951	Protein	CHEMBL421516	CCOC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N(C)[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)O)C(C)C	2	116871	CHEMBL3831291	P01911	9606	IC50	0.02015	7.869999999999999	1
150828	Small molecule	CHEMBL93705	Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1	2	19	CHEMBL206	P03372	9606	IC50	0.00475	8.33	1
150828	Small molecule	CHEMBL93705	Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1	2	174	CHEMBL242	Q92731	9606	IC50	0.13620000000000002	6.87	1
