TARGET_ID	SMILE	CLASS
3	CCCOc1ccc(S(N)(=O)=O)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1	1
3	COc1cc2cc(CO)c(CO)c(C3=CC=NC(=O)C3)c2cc1OC	0
3	CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)NCCC(=O)O)n1	1
3	COc1cccc2c1C(=O)N1CCc3c([nH]c4cccc(OC)c34)[C@H]1N2C	1
3	Clc1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1	1
3	CCCOc1ccc(NC(=O)CN2CCN(C)CC2)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1	1
3	CCCOc1ccc(NC(=O)c2cccs2)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1	1
3	CCCOc1ccc(NC(=O)c2ccc(F)cc2)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1	1
3	COc1ccc(CNc2nc(N3CCC4(CC3)CC4)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1Cl	1
3	O=C1C2Cc3c([nH]c4ccccc34)C(c3ccc4c(c3)OCO4)N2C(=O)CN1Cc1ccccc1	1
3	CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1	1
3	CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1cccc(OC)c1	1
3	CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc(O)cc2)C1	0
3	CCCOc1ccc(NC(=O)OC)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1	1
3	COc1cc2cc(CO)c(CO)c(C3=CCN(C)C(=O)C3)c2cc1OC	0
3	COc1cc2cc(CO)c(CO)c(-c3cc(OC)c(OC)c(S(C)(=O)=O)c3)c2cc1OC	0
3	CCCCNC(=O)c1ccc(N2N=C(C(C)(C)C)CC2c2ccc(OC)c(F)c2)cc1	1
